station,agency,station_type,vertical_datum,park,lat_nad83,long_nad83,ground_surface_elevation_ft,basin,NGVD29_NAVD88_conversion,comments
C139A18,SFWMD,,NGVD29,,26.338465,-80.899178,,,-1.43,Sam Jones Abiaka Prairie/C139 Annex Restoration We
C139A7,SFWMD,,NGVD29,,26.38621,-80.930808,,,-1.39,Sam Jones Abiaka Prairie/C139 Annex Restoration We
C139A8,SFWMD,,NGVD29,,26.370873,-80.978559,,,-1.39,Sam Jones Abiaka Prairie/C139 Annex Restoration We
C139S1,SFWMD,,NGVD29,,26.428668,-81.126832,,,-1.37,C139S1Â ATÂ DEERFENCEÂ CANALÂ ATÂ DUCKÂ CURVE
C139S2,SFWMD,,,,26.46248889,-80.94718444,,,,C139S2 AT L2 CANAL IN STA5
C139S3,SFWMD,,NGVD29,,26.533168,-80.948468,,,-1.39,C139S3ÃÂ ATÃÂ L2ÃÂ CANALÃÂ SOUTHÃÂ OFÃÂ G150
C139S4,SFWMD,,NGVD29,,26.608586,-80.97965,,,-1.37,C139S4Â ATÂ L2WÂ CANALÂ EASTÂ OFÂ G151
C139S5,SFWMD,,NGVD29,,26.52129,-80.980882,,,-1.39,C139S5 AT SR835 SOUTH BOUNDARY CANAL BRIDGE
C139S6,SFWMD,,NGVD29,,26.433326,-80.977286,,,-1.38,ACOUSTICÂ VELOCITYÂ METERÂ ATÂ S&MÂ CANAL
C17N1,SFWMD,,NGVD29,,26.79371194,-80.09157,,C17,-1.522,North of Blue Heron Blvd
C1W,SFWMD,,,,25.66104,-80.47882,,,-1.555,
C4CORAL,USGS,,,,25.76076,-80.32972,,,-1.572,
C4RED,SFWMD,,,,25.7791,-80.28861,,,-1.558,
C54,USGS,,,,26.17102,-80.88333,,Big_Cypress,-1.444,
C6L30,USGS,,,,25.93992,-80.43945,,,-1.522,
C6NW36,SFWMD,,,,25.80687,-80.26194,,,-1.545,
C6PENN,SFWMD,,,,25.89326,-80.37888,,,-1.545,
CA,NPS_ENP,marine,NAVD88,Everglades National,25.70185,-81.1856,,Gulf_Coast,-1.414,
CAB-1,NPS_ENP_FBISC,study,UNKNOWN,Everglades National,25.05924,-80.71133,,CALUSA KEY,,Florida Bay WQ station
CAMP_23,USGS_EGERMAN,RESEARCH,,,26.25833,-80.73805,,,,
CANALPT,SFWMD,,,,26.86544,-80.61639,,,-1.234,
CAPTIVA,NOAA,weather,,,26.53333,-82.18333,,,,81310
CAROLCITY,SFWMD,,,,25.93715,-80.2625,,,-1.565,
CARROLL,SFWMD,,,,26.08991,-80.36195,,,-1.562,
CATCHMENT,SFWMD,,,,26.74044,-80.14194,,,-1.539,
CA_nexrad,SFWMD_synthetic,synthetic,,,25.7036,-81.19503,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10038774
CD01A,DERM,marine,,,25.60083,-80.30028,,biscayne_bay,-1.522,
CDB-1,NPS_ENP_FBISC,study,UNKNOWN,Everglades National,25.12843,-80.67538,,CROCODILE DRAGOVER,,Florida Bay WQ station
CDK-3,NPS_ENP_FBISC,study,UNKNOWN,Everglades National,25.02938,-80.80272,,SID KEY,,Florida Bay WQ station
CFB-1,NPS_ENP_FBISC,study,UNKNOWN,Everglades National,25.10125,-80.88412,,CATFISH KEY,,Florida Bay WQ station
CG01,DERM,marine,,,25.70364,-80.24632,,biscayne_bay,-1.549,
CH1,usgs_brd_gordon,usgs_brd,NAVD88,Everglades National,25.72889,-81.1643,-0.14,Chatham,-1.417,NAVD 88 DTW 3.16 ft (Transfer WRD MO216 20121001)
CH1_nexrad,SFWMD_synthetic,synthetic,,,25.72156,-81.15679,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10039250
CH2,usgs_brd_gordon,usgs_brd,NAVD88,Everglades National,25.71769,-81.18964,-0.55,Chatham,-1.414,NAVD 88 DTW 2.47 ft (Gage removed 20120930)
CH2_nexrad,SFWMD_synthetic,synthetic,,,25.72156,-81.19503,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10039248
CH3,usgs_brd_gordon,usgs_brd,NAVD88,Everglades National,25.70733,-81.24456,0.29,Chatham,-1.401,NAVD 88 DTW 5.62 ft (Discontinued 20120930)
CHA,USGS,marine,NAVD88,,25.70919,-81.24992,,Gulf_Coast,-1.398,
CHARLOTTE_AMALIE,NDBC,weather,,Virgin Islands,18.335,-64.92,,,,"Charlotte Amalie, St. Thomas, VI Owned by NOAA_NOS"
CHEKIKA,USGS_BRD,study,NGVD29,,25.43676,-80.69568,,,-1.552,
CHEKIKA_nexrad,SFWMD_synthetic,synthetic,,,25.43413,-80.69789,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10031690
CHOKOLOSKEE,NOAA,weather,,,25.81667,-81.36667,,,,81556
CHRISTIANSTED_HARBOR,NDBC,weather,,Virgin Islands,17.748,-64.699,,,,"Christiansted Harbor, St. Croix, VI Owner NOAA_NOS"
CKB-1,NPS_ENP_FBISC,study,UNKNOWN,Everglades National,25.007,-80.64706,,CAPTAIN KEY,,Florida Bay WQ station
CLARK,SFWMD,,,,25.76549,-80.23306,,,-1.552,
CLEWISTON,NOAA,weather,,,26.75,-80.93333,,,,81654
CLEWISTON_FS,SFWMD,weather,,,26.735056,-80.895333,,,,SFWMD site CLEW.FS_R
CLEWISTON_NUM2,NOAA,weather,,,26.73611,-81.04917,,,,USC00081651 - Station closed 11/2/2016
CLO,USGS,discharge,NAVD88,,25.198361,-80.788667,,,-1.486,USGS monitoring under Interagency Agreement
CN,NPS_ENP,marine,NGVD29,Everglades National,25.422131,-80.941997,-2.41,Gulf_Coast,-1.48,
CN_nexrad,SFWMD_synthetic,synthetic,,,25.41617,-80.94646,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10031203
COCO1,SFWMD,weather,,,26.27286111,-81.77980556,,,,
COCO3,SFWMD,weather,,,26.27319444,-81.71722222,,,,
COCONUT,SFWMD,,,,25.64882,-80.28306,,,-1.539,
COLGOV,SFWMD,weather,,,26.12847222,-81.76216667,,,,
COLLISEM,SFWMD,weather,,,25.98555556,-81.59316667,,,,
Context_Rd,USGS,discharge,NGVD29,,25.496944,-80.590556,,Rocky_Glades,-1.558,
COON,SFWMD,,NGVD29,,28.26842639,-81.18053138,,ALLIGATOR LAKE,-1.043,Coon Lake
COOPER,SFWMD,,,,25.81548,-80.71639,,WCA3A,-1.516,
COPELAND,SFWMD,weather,,,25.95258333,-81.36366667,,,,
CORALSP,NOAA,,,,26.28212,-80.31639,,,-1.519,
CP,NPS_ENP,marsh,NGVD29,Everglades National,25.22935,-80.70388,-0.15,Taylor_Slough,-1.539,Lat/Long update via Kahn GPS 2010-05-12.
CP_nexrad,SFWMD_synthetic,synthetic,,,25.21856,-80.6979,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10026002
CR,NPS_BISC,Marine,,Biscayne National,25.3965,-80.24833,,biscayne_bay,-1.542,
CR2,NPS_ENP,marsh,NGVD29,Everglades National,25.49839,-80.62217,5.55,Rocky_Glades,-1.558,Lat/Long update Kahn GPS 2013-02-11
CR2_nexrad,SFWMD_synthetic,synthetic,,,25.50599,-80.62142,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10033590
CR3,NPS_ENP,marsh,NGVD29,Everglades National,25.49835,-80.66273,5.56,Rocky_Glades,-1.555,Lat/Long update Kahn GPS 2013-02-11
CRB-1,NPS_ENP_FBISC,study,UNKNOWN,Everglades National,25.02792,-80.76847,,CORRINE KEY,,Florida Bay WQ station
CRS04N,SFWMD,,NGVD29,,26.752026,-81.173399,,,-1.33,CALOOSAHATCHEEÂ SEEPAGEÂ PROJECTÂ -Â SITEÂ 4
CRS05N,SFWMD,,NGVD29,,26.648803,-81.258543,,,-1.33,CALOOSAHATCHEEÂ SEEPAGEÂ PROJECTÂ -Â SITEÂ 5
CS,NPS_ENP,marine,,Everglades National,25.28523,-80.36834,,Eastern_Florida_Bay,-1.549,Card Sound SFWMD-gage
CS1,NPS_ENP,marine,NGVD29,Everglades National,25.200667,-81.065667,,Cape_Sable,-1.44,Permanant Site for CapeSable Project/Dewitt
CS1_Audubon,Audubon,,NGVD29,Everglades National,25.20067,-81.06567,,Cape_Sable,-1.44,
CS2,NPS_ENP,study,NGVD29,Everglades National,25.175717,-81.068217,,Cape_Sable,-1.44,Temp. Site for CapeSable Project/Dewitt
CS2_Audubon,Audubon,,NGVD29,Everglades National,25.17572,-81.06822,,Cape_Sable,-1.44,Temporary Cape Sable Site
CS3,NPS_ENP,study,LOCAL,Everglades National,25.17495,-81.00553,,Cape_Sable,-1.45,Temp. Site for CapeSable Project/Dewitt
CS3_Audubon,Audubon,,LOCAL,Everglades National,25.17495,-81.00553,,Cape_Sable,-1.45,Temporary Cape Sable Site
CSC,USGS,marine,NAVD88,,25.30444,-80.38944,,Eastern_Florida_Bay,-1.545,
CSSSD1,SFWMD,,NGVD29,,25.34658056,-80.55933056,,C111,-1.578,C-111 SPREADER CANAL PHASE1 STAGE1
CSSSD2,SFWMD,,NGVD29,,25.33745,-80.5599,,C111,-1.578,C-111 SPREADER CANAL PHASE1 STAGE
CSSSD3,SFWMD,,NGVD29,,25.32935,-80.53641667,,C111,-1.568,C-111 SPREADER CANAL PHASE1 STAGE
CT27R,NPS_ENP,marsh,NGVD29,Everglades National,25.302,-80.48892,1.25,Lower_C111,-1.549,Lat/Long update via Kahn GPS 2010-05-12.
CT50A,NPS_ENP,study,NGVD29,Everglades National,25.31345,-80.52146,1.81,Lower_C111,-1.552,
CT50R,NPS_ENP,marsh,NGVD29,Everglades National,25.31345,-80.52146,1.81,Lower_C111,-1.562,Lat/Long update via Kahn GPS 2010-05-12.
Culvert5,SFWMD,,,,26.9195,-81.12173,,,-1.332,Culvert 5 outlet from LakeO (near LD3)
CV1N,NPS_ENP,marsh,NGVD29,Everglades National,25.29032,-80.45412,,Lower_C111,-1.545,
CV1NR,NPS_ENP,marsh,NGVD29,Everglades National,25.29032,-80.45412,,Lower_C111,-1.545,
CV5N,NPS_ENP,marsh,NGVD29,Everglades National,25.30247,-80.48844,,Lower_C111,-1.549,
CV5NR,NPS_ENP,marsh,NGVD29,Everglades National,25.30387,-80.48838,,Lower_C111,-1.549,Lat/Long update Beth GPS 2010-04-28
CV5S,NPS_ENP,marsh,NGVD29,Everglades National,25.30169,-80.48747,,Lower_C111,-1.549,
CV9N,NPS_ENP,marsh,NGVD29,Everglades National,25.31278,-80.5184,,Lower_C111,-1.558,
CV9NR,NPS_ENP,marsh,NGVD29,Everglades National,25.31278,-80.5184,,Lower_C111,-1.558,
CW,NPS_ENP,marine,NGVD29,Everglades National,25.29669,-81.0132,-2.1,Gulf_Coast,-1.447,
CW_nexrad,SFWMD_synthetic,synthetic,,,25.29042,-81.00382,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10027882
CY2,NPS_ENP,marsh,NGVD29,Everglades National,25.3293,-80.6796,2.5,Taylor_Slough,-1.555,Lat/Long update Beth GPS 2010-04-28
CY3,NPS_ENP,marsh,NGVD29,Everglades National,25.32769,-80.75097,2.35,Taylor_Slough,-1.542,Lat/Long update Beth GPS 2010-04-28
CY3_ET,USGS_EGERMAN,RESEARCH,,,25.35305,-80.63388,,,,
CY3_nexrad,SFWMD_synthetic,synthetic,,,25.32635,-80.75525,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10028843
DADECO,SFWMD,,,,25.4655,-80.48305,,,-1.526,
DADENUR,SFWMD,,,,25.68048,-80.27944,,,-1.542,
DANHP,SFWMD,weather,,,25.97869444,-81.48088889,,,,
DANIA4,SFWMD,,,,26.06547,-80.19972,,,-1.601,
DBC1,NPS_ENP,study,LOCAL,Everglades National,25.390323,-80.680187,,EVERGLADES NP,,Test Site 20100216_DR
DBC1_nexrad,SFWMD_synthetic,synthetic,,,25.3982,-80.67877,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10030743
DELRAY,SFWMD,,,,26.49878,-80.21639,,,-1.489,
DevilGarTow,SFWMD,,,,26.6028,-81.1284,,,,Devils Garden Tower Rain Gage Hendry County
DFNBV,SFWMD,,NGVD29,,26.432692,-80.980339,,,-1.38,DEERFENCEÂ CANALÂ NORTHÂ BANK
DIXIE,SFWMD,,,,26.09991,-80.19972,,,-1.594,
DK,NPS_ENP,marine,NAVD88,Everglades National,25.18009,-80.49001,-2.8,Eastern_Florida_Bay,-1.539,
DK_nexrad,SFWMD_synthetic,synthetic,,,25.18263,-80.48757,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10025065
DO1,NPS_ENP,marsh,NGVD29,Everglades National,25.37368,-80.69115,3.36,Long_Pine_Key,-1.555,Lat/Long update Beth GPS 2010-04-28
DO2,NPS_ENP,marsh,NGVD29,Everglades National,25.38934,-80.74178,3.19,Long_Pine_Key,-1.545,Lat/Long update Beth GPS 2010-04-28
DO3,NPS_ENP,marsh,NGVD29,Everglades National,25.3706,-80.67569,3.5,Long_Pine_Key,-1.555,Lat/Long update Beth GPS 2010-04-28
DRTO_BK,NPS_SFCN,marine,,Dry Tortugas,24.61172,-82.87065,,,,
DRTO_BKN,NPS_SFCN,marine,,Dry Tortugas,24.61348,-82.8695,,,,
DRTO_I05,NPS_SFCN,marine,,Dry Tortugas,24.66381,-82.92704,,,,
DRTO_I26,NPS_SFCN,marine,,Dry Tortugas,24.68404,-82.89425,,,,
DRTO_I33,NPS_SFCN,marine,,Dry Tortugas,24.69704,-82.9065,,,,
DRTO_I36,NPS_SFCN,marine,,Dry Tortugas,24.70824,-82.86302,,,,
DRTO_I38,NPS_SFCN,marine,,Dry Tortugas,24.65695,-82.92743,,,,
DRTO_I41,NPS_SFCN,marine,,Dry Tortugas,24.60459,-82.93017,,,,
DRTO_I44,NPS_SFCN,marine,,Dry Tortugas,24.68693,-82.88318,,,,
DRTO_I50,NPS_SFCN,marine,,Dry Tortugas,24.66236,-82.92743,,,,
DRTO_I63,NPS_SFCN,marine,,Dry Tortugas,24.70715,-82.8816,,,,
DRTO_LH01,NPS_SFCN,marine,,DRTO,24.66813566,-82.925862,,,,
DRTO_LH02,NPS_SFCN,marine,,DRTO,24.66307724,-82.93099076,,,,
DRTO_LH03,NPS_SFCN,marine,,DRTO,24.65983159,-82.93415152,,,,
DRTO_LH04,NPS_SFCN,marine,,DRTO,24.66236457,-82.92743311,,,,
DRTO_LH05,NPS_SFCN,marine,,DRTO,24.66381412,-82.92704045,,,,
DRTO_O12,NPS_SFCN,marine,,Dry Tortugas,24.70643,-82.83812,,,,
DRTO_O27,NPS_SFCN,marine,,Dry Tortugas,24.70318,-82.84879,,,,
DRTO_O42,NPS_SFCN,marine,,Dry Tortugas,24.57857,-82.96451,,,,
DRTO_O56,NPS_SFCN,marine,,Dry Tortugas,24.72122,-82.80214,,,,
DRTO_O72,NPS_SFCN,marine,,Dry Tortugas,24.69558,-82.7899,,,,
DRTO_O82,NPS_SFCN,marine,,Dry Tortugas,24.72231,-82.80926,,,,
DRTO_O84,NPS_SFCN,marine,,Dry Tortugas,24.5739,-82.92581,,,,
DRTO_O92,NPS_SFCN,marine,,Dry Tortugas,24.70643,-82.84049,,,,
DRTO_O94,NPS_SFCN,marine,,Dry Tortugas,24.72158,-82.80689,,,,
DRTO_SV1,NPS_SFCN,marine,,DRTO,24.72237885,-82.82832801,,,,
DRTO_SV2,NPS_SFCN,marine,,DRTO,24.72324305,-82.82037371,,,,
DRTO_SV3,NPS_SFCN,marine,,DRTO,24.72456249,-82.81505519,,,,
DRTO_WEATHER_STATION,weather_underground,weather,,Dry Tortugas,24.628,-82.873,,,,EVER Maintenance installed weather station
DT_Audubon,Audubon,marine,LOCAL,,25.1984,-80.614817,,Western_Florida_Bay,,"co-located w/SAV, fish monitoring"
DUCLOS,SFWMD,,,,25.55883,-80.50499,,,-1.552,
DUP3,SFWMD,,,,26.85738,-80.48417,,,-1.322,
E112,NPS_ENP,marsh,NGVD29,Everglades National,25.42231,-80.60458,3.24,Taylor_Slough,-1.578,Lat/Long update Kahn GPS 2013-02-11
E12,NPS_ENP,marsh,,Everglades National,25.27273,-80.44499,0.59,C111,-1.545,
E146,NPS_ENP,marsh,NGVD29,Everglades National,25.25252,-80.66626,0.29,Taylor_Slough,-1.549,Lat/Long update via Kahn GPS 2010-05-12.
EAA1,SFWMD,,,,26.43378,-80.81,,,-1.43,
EAA2,SFWMD,,,,26.55683,-80.70917,,,-1.44,
EAA3,SFWMD,,,,26.58239,-80.53194,,,-1.427,
EAA4,SFWMD,,,,26.76599,-80.50528,,,-1.381,
EAA5,SFWMD,,,,26.4349,-80.615,,S-2_6_7,-1.437,
EAST69,USGS,marsh,NGVD29,,25.906639,-80.588778,,WCA3B,-1.516,
EASTR,USGS,marine,LOCAL,,25.89055556,-81.46627778,,ten_thousand_islands,-1.352,Ten Thousand Islands inflow
EBOLLES,SFWMD,,,,26.61767,-80.63916,,,-1.421,
ECC,USGS,marine,NAVD88,,25.13694444,-81.0666667,,Gulf_Coast,-1.44,Lake Ingraham
ECR,USGS,marine,NAVD88,,25.19778,-80.61917,,Western_Florida_Bay,-1.539,
EDEN1,USGS,Marsh,NAVD88,,25.86056,-80.895,7.06,Big_Cypress,-1.47,
EDEN10,USGS,Marsh,NAVD88,,25.78528,-80.61722,4.87,WCA3B,-1.542,
EDEN11,USGS,Marsh,NAVD88,,26.37639,-80.45528,11.04,WCA2A,-1.447,
EDEN12,USGS,Marsh,NAVD88,,26.01167,-80.58806,5.59,WCA3A,-1.493,
EDEN13,USGS,Marsh,NAVD88,,26.17639,-80.37139,7.2,WCA2B,-1.526,
EDEN14,USGS,Marsh,NAVD88,,26.06944,-80.7575,7.88,WCA3A,-1.47,
EDEN3,USGS,,NAVD88,,25.51194,-80.93306,-0.19,Shark_Slough,-1.473,
EDEN4,USGS,marsh,NAVD88,,26.09333,-80.50694,5.77,WCA3A,-1.483,
EDEN5,USGS,Marsh,NAVD88,,26.12361,-80.75278,7.9,WCA3A,-1.463,
EDEN6,USGS,Marsh,NAVD88,,26.06528,-80.90389,9.01,Big_Cypress,-1.447,
EDEN7,USGS,Marsh,NAVD88,,25.95222,-80.49861,4.84,WCA3B,-1.516,
EDEN8,USGS,Marsh,NAVD88,,25.86667,-80.68056,5.73,WCA3A,-1.512,
EDEN9,USGS,Marsh,NAVD88,,26.22194,-80.59222,8.11,WCA3A,-1.463,
EHC,USGS,,NAVD88,,25.2556744,-80.43695,,,-1.545,
EKB-1,NPS_ENP_FBISC,study,UNKNOWN,Everglades National,25.1016,-80.7192,,END KEY,,Florida Bay WQ station
EKB-2,NPS_ENP_FBISC,study,UNKNOWN,Everglades National,25.1267,-80.71822,,END KEY,,Florida Bay WQ station
ENR101,SFWMD,,,,26.64072,-80.4175,,,-1.44,
ENR105,SFWMD,,,,26.65433,-80.41139,,,-1.44,
ENR106,SFWMD,,,,26.56433,-80.41861,,,-1.43,
ENR203,SFWMD,,,,26.64183,-80.43334,,,-1.444,
ENR301,SFWMD,,,,26.61933,-80.43361,,,-1.437,
ENR308,SFWMD,,,,26.621,-80.43889,,,-1.437,
ENR401,SFWMD,,,,26.6285,-80.43972,,,-1.44,
ENSO,NOAA,,,,0,180,,,,El Nino/Southern Oscillation data
EP1R,NPS_ENP,marsh,NGVD29,Everglades National,25.28747,-80.45312,0.67,Lower_C111,-1.545,Lat/Long update via Kahn GPS 2010-05-12.
EP9,NPS_ENP,marsh,NGVD29,Everglades National,25.27078,-80.55417,0.49,Lower_C111,-1.562,
EPD07,SFWMD,,NGVD29,,26.718121,-80.918117,,,-1.38,Privately owned pump station discharging into the
EPGW,NPS_ENP,marsh,NGVD29,Everglades National,25.28059,-80.50816,1.01,Lower_C111,-1.552,
EPSW,NPS_ENP,marsh,NGVD29,Everglades National,25.28059,-80.50816,1.01,Lower_C111,-1.552,Lat/Long update via Kahn GPS 2010-05-12.
EPSW_nexrad,SFWMD_synthetic,synthetic,,,25.27245,-80.50669,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10027434
ESC,USGS,marine,NAVD88,,25.13388889,-81.0652778,,Gulf_Coast,-1.44,Lake Ingraham
EVC,NOAA_NCDC,marsh,,Everglades National,25.8489,-81.3897,,Big_Cypress,-1.371,
EVC_nexrad,SFWMD_synthetic,synthetic,,,25.84731,-81.38623,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10042556
EVER1,USGS,,NGVD29,,25.32828,-80.42972,1.5,C111,-1.539,
EVER2A,USGS,,,,25.31717,-80.47583,1.41,C111,-1.545,
EVER2B,USGS,,,,25.31411,-80.47583,1.36,C111,-1.545,
EVER3,USGS,,,,25.34223,-80.51454,1.9,C111,-1.558,
EVER4,USGS,,,,25.34218,-80.54499,1.8,C111,-1.575,
EVER5A,USGS,,,,25.286106,-80.572544,0.95,C111,-1.565,
EVER5B,USGS,,,,25.2884,-80.569256,1.05,C111,-1.568,
EVER6,NPS_ENP,marsh,NGVD29,Everglades National,25.29803,-80.51214,1.5,Lower_C111,-1.555,Lat/Long update via Kahn GPS 2010-05-12.
EVER7,NPS_ENP,marsh,NGVD29,Everglades National,25.30962,-80.54297,1.95,Lower_C111,-1.572,Lat/Long update via Kahn GPS 2010-05-12.
EVER7_nexrad,SFWMD_synthetic,synthetic,,,25.30838,-80.54493,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10028380
EVER8,NPS_ENP,marsh,NGVD29,Everglades National,25.34594,-80.47893,1.33,Lower_C111,-1.542,Lat/Long update via Kahn GPS 2010-05-12.
EVER8_nexrad,SFWMD_synthetic,synthetic,,,25.34431,-80.48757,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10029331
EVER_RAWS_CACHE,NPS_ENP_FIRE,weather,,Everglades National,25.390278,-80.680278,,,,Described as CACHE or LPIF1
EVER_RAWS_CHEKIKA,NPS_ENP_FIRE,weather,,Everglades National,25.625,-80.579722,,,,
F179,USGS,,,,25.74437,-80.24638,8.77,,-1.552,
F239,USGS,,,,25.83409,-80.27166,,,-1.545,
F319,USGS,,,,25.70326,-80.28833,,,-1.549,
F358,USGS,,,,25.47327,-80.48083,7.76,,-1.522,
F45,USGS,,,,25.82715,-80.20417,,,-1.539,
FAKAM,USGS,marine,LOCAL,,25.90880556,-81.51091667,,ten_thousand_islands,-1.342,Ten Thousand Islands inflow
FC27N,NOAA,marine,UNKNOWN,BISC,27,79.67,,,,Florida Current cable based flow data
FDMPARK,SFWMD,weather,,,26.17344444,-81.78975,,,,
FELDA,NOAA,weather,,,26.53333,-81.43333,,,,82923
FISHP,SFWMD,,,,26.932558,-81.314791,,,,
fish_eating_creek,USGS,discharge,,,26.96256,81.11785,,LAKE OKEECHOBEE,,Fish Eating Creek near Lake Port
FIU001,FIU,Marine,,,25.27355,-80.37458,,biscayne_bay,-1.549,
FIU002,FIU,Marine,,,25.28503,-80.39503,,biscayne_bay,-1.545,
FIU003,FIU,Marine,,,25.25103,-80.41517,,biscayne_bay,-1.545,
FIU004,FIU,Marine,,,25.22173,-80.38832,,biscayne_bay,-1.552,
FIU101,FIU,Marine,,,25.47833,-80.32083,,biscayne_bay,-1.529,
FIU102,FIU,Marine,,,25.54583,-80.29467,,biscayne_bay,-1.526,
FIU103,FIU,Marine,,,25.57333,-80.28667,,biscayne_bay,-1.526,
FIU104,FIU,Marine,,,25.60167,-80.22083,,biscayne_bay,-1.542,
FIU105,FIU,Marine,,,25.65417,-80.18667,,biscayne_bay,-1.558,
FIU106,FIU,Marine,,,25.63417,-80.13,,biscayne_bay,-1.565,
FIU107,FIU,Marine,,,25.59,-80.1,,biscayne_bay,-1.562,
FIU108,FIU,Marine,,,25.56917,-80.1925,,biscayne_bay,-1.545,
FIU109,FIU,Marine,,,25.56417,-80.235,,biscayne_bay,-1.535,
FIU110,FIU,Marine,,,25.505,-80.2875,,biscayne_bay,-1.529,
FIU111,FIU,Marine,,,25.51583,-80.24,,biscayne_bay,-1.535,
FIU112,FIU,Marine,,,25.48833,-80.18833,,biscayne_bay,-1.545,
FIU113,FIU,Marine,,,25.44167,-80.22333,,biscayne_bay,-1.542,
FIU114,FIU,Marine,,,25.385,-80.19167,,biscayne_bay,-1.549,
FIU115,FIU,Marine,,,25.40417,-80.24083,,biscayne_bay,-1.542,
FIU116,FIU,Marine,,,25.4,-80.255,,biscayne_bay,-1.539,
FIU117,FIU,Marine,,,25.385,-80.265,,biscayne_bay,-1.542,
FIU118,FIU,Marine,,,25.34833,-80.255,,biscayne_bay,-1.549,
FIU119,FIU,Marine,,,25.31833,-80.30333,,biscayne_bay,-1.555,
FIU120,FIU,Marine,,,25.31417,-80.34333,,biscayne_bay,-1.545,
FIU121,FIU,Marine,,,25.355,-80.29167,,biscayne_bay,-1.542,
FIU122,FIU,Marine,,,25.42017,-80.31083,,biscayne_bay,-1.529,
FIU123,FIU,Marine,,,25.445,-80.28333,,biscayne_bay,-1.529,
FIU124,FIU,Marine,,,25.4725,-80.23333,,biscayne_bay,-1.539,
FIU125,FIU,Marine,,,25.47,-80.28333,,biscayne_bay,-1.529,
FIU126,FIU,Marine,,,25.67167,-80.205,,biscayne_bay,-1.555,
FIU127,FIU,Marine,,,25.63,-80.25,,biscayne_bay,-1.539,
FIU128,FIU,Marine,,,25.68833,-80.23333,,biscayne_bay,-1.549,
FIU129,FIU,Marine,,,25.73667,-80.185,,biscayne_bay,-1.562,
FIU135,FIU,Marine,,,25.31667,-80.31667,,biscayne_bay,-1.552,
FKAA_LONG_KEY,weather_underground,weather,,,24.84,-80.79,,,,Florida Keys Aquaduct Authority
FKSTRN,SFWMD,weather,,,26.14277778,-81.34977778,,,,
FLA,NOAA_NCDC,marine,,,25.13995,-80.91473,,,-1.467,
FLAMINGROV,SFWMD,,,,26.07214,-80.31194,,,-1.598,
fl_bay,NPS_ENP,derivative,,,25.08668,-80.51904,,,,Calculated EVAP from Price (2007) and IFS
FMB,NPS_ENP,marsh,,Everglades National,25.76075,-80.82425,,Shark_Slough,-1.493,Lat/Longs by Spot tracking system on 8/3/2010.
FMB_nexrad,SFWMD_synthetic,synthetic,,,25.75748,-80.83174,,Everglades_NP,,SFWMD_2km_x_2km_NEXRAD_PIXELID_10040215
FORTLAUD,SFWMD,,,,26.09992,-80.19972,,,-1.594,
FOWEY_ROCK,NDBC,weather,LOCAL,,25.591,-80.097,,biscayne_bay,,"Fowey Rocks Lighthouse, owner NDBC"
FPDA3GW,SFWMD,,NGVD29,,25.44022444,-80.56527472,,FROG POND,-1.568,FROG POND DETENTION AREA SITE3
FPDA7GW,SFWMD,,NGVD29,,25.40367444,-80.56998611,,FROG POND,-1.581,FROG POND DETENTION AREA SITE7
FPDA8GW,SFWMD,,NGVD29,,25.42095833,-80.57448222,,FROG POND,-1.575,FROG POND DETENTION AREA SITE8
FPWX,SFWMD,weather,,,26.43255556,-81.72338889,,,,
FROGPOND,SFWMD,,,,25.44258,-80.57453,,,-1.568,
FROGPOND_D2,SFWMD,,NGVD29,,25.445669,-80.564226,,FROG POND,-1.565,"groundwater, 11.08 feet deep"
frog_pond_w,NPS_ENP,,NGVD29,Everglades National,25.454534,-80.584909,,FROG POND,-1.568,"Concrete weir, adj values from survey 1/4/11"
FTL,SFWMD,,,,26.06213,-80.25945,,,-1.608,
FTLAUDFS,SFWMD,,,,26.06213,-80.25945,,,-1.608,
FTLBAHA,SFWMD,,,,26.11186,-80.10806,,,-1.588,
FTLEXP,SFWMD,,,,26.08436,-80.24,,,-1.604,
FTMYERS_PAGE_AP,NOAA,weather,,,26.585,-81.8614,,,,USW00012835
FTMYERS_WTP,NOAA,weather,,,26.61667,-81.85,,,,83181
